导出时间: 2026-04-14 20:36:34

==== points ====
store_id	store_name	lng	lat
396141	大兴星牌共享际	116.325314	39.737777
396255	东方航空公司总部店	116.420667	39.542956
396276	京东总部1号店	116.56231	39.78751
396388	北京鸿坤广场店	116.340559	39.792123
396449	大兴国际氢能示范区店	116.341014	39.784747
396495	大兴南航总部基地店	116.304696	39.504597
396706	北京南站出发层2店	116.38	39.86
397398	北京地铁物资学院路站店	116.63954	39.92618
397682	北京通州新光大	116.660224	39.916397
398090	超市发天通苑西区	116.40952	40.07454
398170	昌平未来科学城未来中心店	116.472652	40.11573
398439	北京地铁昌平站店	116.193559	40.189942
398558	北京怀柔雁栖人才社区店	116.637507	40.337397
398689	回龙观体育公园店	116.34	40.08
398708	北京站4号候车室店	116.43	39.9
398718	北京北站店	116.35	39.94
399519	古北水镇一号店	117.27877	40.654803
399520	古北水镇二号店	117.27877	40.654803
399548	北京中海大厦店	116.177384	39.910812
399569	西长安中骏世界城店	116.123151	39.905473
399670	北京门头沟长安天街店	116.123776	39.90516
399722	北京祥云小镇店	116.54	40.09
409392	天津市蓟州区天一绿海店	117.445485	40.060581
461717	廊坊燕郊夏威夷蓝湾店	116.823988	39.908658
462710	承德市德汇大厦店	117.937388	40.979333
462717	承德宽广时代广场店	118.4951	40.609531
466370	廊坊香河新开街店	116.992278	39.763638
466435	廊坊香河新华街店	117.00518	39.755877
466455	廊坊燕郊尚京广场店	116.836078	39.953422
466506	廊坊燕郊诺亚大厦店	116.791652	39.958684
466653	廊坊燕郊燕京理工学院店	117.074543	39.989248
466697	廊坊燕郊33号街区店	116.813884	39.963093
467708	三河文化艺术大街店	117.058418	39.987769
469475	承德市二仙居大街店	117.936691	40.978157
469476	承德市小佟沟路店	117.935528	40.973667
469517	承德市福地华园店	117.96151	40.959264
469559	承德市锦绣大街店	117.781169	40.949941
469585	承德御龙瀚府店	117.949131	40.904556
469588	承德铂悦山店	117.970534	40.887896
469659	承德兴盛丽水店	117.95217	40.994305
469660	承德银星丽苑店	117.94119	40.969259
469691	承德市嘉和广场店	117.963433	40.94572
471708	张家口崇礼汤印店-富龙子	115.282345	40.974741
478480	张家口容辰庄园店	114.891691	40.796315
478481	张家口明德南路店	114.885549	40.826521
478566	张家口宣化八中店	115.073292	40.607533
478567	张家口宣化兴泰店	115.060397	40.611605
478571	张家口宣化鼓楼店	115.063008	40.611674
478572	张家口宣化光大店	115.073292	40.607533
478573	张家口宣化皇城店	115.054366	40.616504
478581	张家口古宏大街店	114.891822	40.833749
478582	张家口北方学院西校区店	114.878049	40.770992
478583	张家口怀来新城佳苑店	115.520736	40.40807
478584	张家口怀来新东方店	115.533229	40.412408
478610	张家口职业技术学院店	114.913473	40.734346
478648	张家口乐享城店	114.895356	40.784716

==== amap_distance_cache ====
cache_key	from_store_id	to_store_id	from_lng	from_lat	to_lng	to_lat	distance_km	duration_minutes	updated_at
115.951455,39.727194->115.984201,39.701947	396081	396053	115.951455	39.727194	115.984201	39.701947	5.078	14.517	2026-04-06 10:24:13
115.951455,39.727194->116.074642,39.711901	396081	396058	115.951455	39.727194	116.074642	39.711901	13.780	25.050	2026-04-06 10:24:13
115.951455,39.727194->116.12147,40.090637	396081	394560	115.951455	39.727194	116.12147	40.090637	60.897	55.883	2026-04-06 10:24:13
115.951455,39.727194->116.123151,39.905473	396081	399569	115.951455	39.727194	116.123151	39.905473	37.695	40.633	2026-04-06 10:24:13
115.951455,39.727194->116.123776,39.90516	396081	399670	115.951455	39.727194	116.123776	39.90516	37.906	41.933	2026-04-06 10:24:13
115.951455,39.727194->116.130385,40.068963	396081	394258	115.951455	39.727194	116.130385	40.068963	58.079	53.433	2026-04-06 10:24:13
115.951455,39.727194->116.141693,39.729179	396081	396054	115.951455	39.727194	116.141693	39.729179	18.149	31.783	2026-04-06 10:24:13
115.951455,39.727194->116.177384,39.910812	396081	399548	115.951455	39.727194	116.177384	39.910812	40.861	45.900	2026-04-06 10:24:13
115.951455,39.727194->116.18103,40.04876	396081	394488	115.951455	39.727194	116.18103	40.04876	61.206	57.117	2026-04-06 10:24:13
115.951455,39.727194->116.184607,40.058039	396081	394070	115.951455	39.727194	116.184607	40.058039	60.849	58.433	2026-04-06 10:24:13
115.951455,39.727194->116.184831,40.057682	396081	394526	115.951455	39.727194	116.184831	40.057682	60.918	58.500	2026-04-06 10:24:13
115.951455,39.727194->116.193559,40.189942	396081	398439	115.951455	39.727194	116.193559	40.189942	71.707	66.250	2026-04-06 10:24:13
115.951455,39.727194->116.233168,39.953807	396081	394048	115.951455	39.727194	116.233168	39.953807	48.497	48.133	2026-04-06 10:24:13
115.951455,39.727194->116.246179,40.075597	396081	394234	115.951455	39.727194	116.246179	40.075597	66.155	67.300	2026-04-06 10:24:13
115.951455,39.727194->116.250585,40.065157	396081	394489	115.951455	39.727194	116.250585	40.065157	67.325	67.083	2026-04-06 10:24:13
115.951455,39.727194->116.254645,39.907011	396081	394104	115.951455	39.727194	116.254645	39.907011	44.959	46.517	2026-04-06 10:24:13
115.951455,39.727194->116.269375,40.078948	396081	394512	115.951455	39.727194	116.269375	40.078948	68.393	72.267	2026-04-06 10:24:13
115.951455,39.727194->116.271012,39.953633	396081	394630	115.951455	39.727194	116.271012	39.953633	49.379	49.850	2026-04-06 10:24:13
115.951455,39.727194->116.272624,40.041426	396081	394110	115.951455	39.727194	116.272624	40.041426	62.279	67.367	2026-04-06 10:24:13
115.951455,39.727194->116.282088,40.046885	396081	394069	115.951455	39.727194	116.282088	40.046885	69.139	65.983	2026-04-06 10:24:13
115.951455,39.727194->116.287445,39.96635	396081	394062	115.951455	39.727194	116.287445	39.96635	52.768	52.200	2026-04-06 10:24:13
