导出时间: 2026-04-14 20:36:30

==== store_wave_load_resolved ====
shop_code	wave_belongs	wave1_load	wave2_load	wave3_load	wave4_load	total_resolved_load	first_wave_time	second_wave_time	arrival_time_w3	arrival_time_w4	updated_at
393425	2	0	0.116824	0	0	0.116824	None	06:00	None	None	2026-04-14 18:42:48
393426	2	0	0.083647	0	0	0.083647	None	05:30	None	None	2026-04-14 18:42:48
393546	2,1	0.075464	0.02	0	0	0.095464	21:50	02:10	None	None	2026-04-14 18:42:48
393557	2,1	0.111442	0.014286	0	0	0.125728	22:10	03:10	None	None	2026-04-14 18:42:48
393651	2,1	0.157488	0.051203	0	0	0.208691	20:40	02:00	None	None	2026-04-14 18:42:48
393675	2,1	0.062306	0.022857	0	0	0.085163	21:00	01:35	None	None	2026-04-14 18:42:48
393688	2,1	0.141705	0.059774	0	0	0.201479	22:40	03:15	None	None	2026-04-14 18:42:48
393706	3	0	0	0	0	0	None	None	04:00	None	2026-04-14 18:42:48
393707	2,1	0	0	0	0	0	23:10	04:10	None	None	2026-04-14 18:42:48
393708	3	0	0	0	0	0	None	None	23:30	None	2026-04-14 18:42:48
393709	2	0	0	0	0	0	None	02:00	None	None	2026-04-14 18:42:48
393710	3	0	0	0	0	0	None	None	05:50	None	2026-04-14 18:42:48
393711	2	0	0	0	0	0	None	01:00	None	None	2026-04-14 18:42:48
393715	4	0	0	0	0	0	None	None	None	18:00	2026-04-14 18:42:48
393717	3	0	0	0.250545	0	0.250545	None	None	23:00	None	2026-04-14 18:42:48
393718	3	0	0	0.66982	0	0.66982	None	None	23:00	None	2026-04-14 18:42:48
393720	2	0	0	0	0	0	None	05:00	None	None	2026-04-14 18:42:48
394024	2,1	0.227244	0.101053	0	0	0.328297	21:00	01:30	None	None	2026-04-14 18:42:48
394038	2,1	0.237815	0.079549	0	0	0.317364	21:40	01:30	None	None	2026-04-14 18:42:48
394048	2,1	0.130734	0.054286	0	0	0.18502	21:00	04:30	None	None	2026-04-14 18:42:48
394062	2,1	0.102676	0.04	0	0	0.142676	23:10	04:20	None	None	2026-04-14 18:42:48
394069	2,1	0.064938	0.022857	0	0	0.087795	21:40	02:15	None	None	2026-04-14 18:42:48
394070	2,1	0.120207	0.04812	0	0	0.168327	23:00	03:30	None	None	2026-04-14 18:42:48
394072	2,1	0.115834	0.065038	0	0	0.180872	22:20	02:50	None	None	2026-04-14 18:42:48
394073	2,1	0.192607	0.08	0	0	0.272607	22:30	03:30	None	None	2026-04-14 18:42:48
394075	2,1	0.168485	0.082857	0	0	0.251342	23:30	03:00	None	None	2026-04-14 18:42:48
394085	2,1	0.137789	0.062857	0	0	0.200646	22:00	04:00	None	None	2026-04-14 18:42:48
394089	2,1	0.0623	0.022857	0	0	0.085157	22:45	03:20	None	None	2026-04-14 18:42:48
394096	2,1	0.035552	0.034286	0	0	0.069838	21:00	04:50	None	None	2026-04-14 18:42:48
394103	2,1	0.054837	0.036241	0	0	0.091078	21:30	02:00	None	None	2026-04-14 18:42:48
394104	2,1	0.067563	0.037143	0	0	0.104706	22:00	03:40	None	None	2026-04-14 18:42:48
394105	2,1	0.16188	0.048571	0	0	0.210451	00:00	03:30	None	None	2026-04-14 18:42:48
394110	2,1	0.382952	0.105263	0	0	0.488215	22:45	03:40	None	None	2026-04-14 18:42:48
394112	2,1	0.138196	0.045714	0	0	0.18391	22:50	04:00	None	None	2026-04-14 18:42:48
394118	2,1	0.080727	0.031203	0	0	0.11193	23:00	03:00	None	None	2026-04-14 18:42:48
394122	2	0	0.070896	0	0	0.070896	None	02:30	None	None	2026-04-14 18:42:48
394123	2	0	0.129036	0	0	0.129036	None	02:10	None	None	2026-04-14 18:42:48
394142	2,1	0.090389	0.051203	0	0	0.141592	22:00	02:20	None	None	2026-04-14 18:42:48
394150	2,1	0.0851	0.022632	0	0	0.107732	22:00	03:00	None	None	2026-04-14 18:42:48
394196	2	0	0.167031	0	0	0.167031	None	04:50	None	None	2026-04-14 18:42:48
394234	2,1	0.076335	0.048346	0	0	0.124681	21:20	01:50	None	None	2026-04-14 18:42:48
394258	2,1	0.104418	0.062857	0	0	0.167275	22:20	02:50	None	None	2026-04-14 18:42:48
394405	2	0	0.050489	0	0	0.050489	None	04:50	None	None	2026-04-14 18:42:48
394406	2,1	0.056598	0.054286	0	0	0.110884	23:40	05:00	None	None	2026-04-14 18:42:48
394419	2	0	0.064323	0	0	0.064323	None	05:30	None	None	2026-04-14 18:42:48
394437	2,1	0.111435	0.025714	0	0	0.137149	22:10	03:00	None	None	2026-04-14 18:42:48
394451	2,1	0.097413	0.054286	0	0	0.151699	22:40	03:40	None	None	2026-04-14 18:42:48
394485	2,1	0.075025	0.051429	0	0	0.126454	22:30	04:00	None	None	2026-04-14 18:42:48
394488	2,1	0.057475	0.034286	0	0	0.091761	23:30	04:00	None	None	2026-04-14 18:42:48
394489	2	0	0.088659	0	0	0.088659	None	05:15	None	None	2026-04-14 18:42:48
394510	2,1	0.125909	0.057143	0	0	0.183052	22:00	03:30	None	None	2026-04-14 18:42:48
394512	2,1	0.065376	0.028571	0	0	0.093947	21:00	01:30	None	None	2026-04-14 18:42:48
394526	2	0	0.16146	0	0	0.16146	None	04:30	None	None	2026-04-14 18:42:48
394560	2,1	0.090389	0.02	0	0	0.110389	21:50	02:20	None	None	2026-04-14 18:42:48
394620	2,1	0.322044	0.17203	0	0	0.494074	21:00	01:30	None	None	2026-04-14 18:42:48
394630	2,1	0.08819	0.034286	0	0	0.122476	21:30	04:00	None	None	2026-04-14 18:42:48
394705	3	0	0	0	0	0	None	None	01:00	None	2026-04-14 18:42:48
394720	3	0	0	0	0	0	None	None	23:00	None	2026-04-14 18:42:48
395017	2	0	0.14022	0	0	0.14022	None	04:00	None	None	2026-04-14 18:42:48
395092	3	0	0	0.150326	0	0.150326	None	None	01:10	None	2026-04-14 18:42:48
395274	2,1	0.046943	0.030977	0	0	0.07792	22:20	03:20	None	None	2026-04-14 18:42:48
395302	3	0	0	0.151855	0	0.151855	None	None	00:30	None	2026-04-14 18:42:48
395411	3	0	0	0.080113	0	0.080113	None	None	04:30	None	2026-04-14 18:42:48
